Length.spi Length.bod scLength.spi scLength.bod treat_dev measurer.spi measurer.bod animal cultureFac blockFac Dam Sire cross
0.10289 0.14858 10.289 14.858 N 0.5 0.5 N1.1_N2.9 N1.1_N2 1 dam_N1 sire_N1 N1N1
0.10167 0.13605 10.167 13.605 U 0.5 0.5 N1.1_U1.1 N1.1_U1 1 dam_N1 sire_N1 N1N1
0.09599 0.14607 9.599 14.607 U 0.5 0.5 N1.1_U1.10 N1.1_U1 1 dam_N1 sire_N1 N1N1
0.09088 0.13463 9.088 13.463 U 0.5 0.5 N1.1_U1.11 N1.1_U1 1 dam_N1 sire_N1 N1N1
0.08456 0.12473 8.456 12.473 U 0.5 0.5 N1.1_U1.12 N1.1_U1 1 dam_N1 sire_N1 N1N1
0.0877 0.14047 8.77 14.047 U 0.5 0.5 N1.1_U1.13 N1.1_U1 1 dam_N1 sire_N1 N1N1
0.09107 0.13021 9.107 13.021 U 0.5 0.5 N1.1_U1.14 N1.1_U1 1 dam_N1 sire_N1 N1N1
0.09288 0.12899 9.288 12.899 U 0.5 0.5 N1.1_U1.15 N1.1_U1 1 dam_N1 sire_N1 N1N1
0.09466 0.13294 9.466 13.294 U 0.5 0.5 N1.1_U1.16 N1.1_U1 1 dam_N1 sire_N1 N1N1
0.09488 0.13158 9.488 13.158 U 0.5 0.5 N1.1_U1.17 N1.1_U1 1 dam_N1 sire_N1 N1N1
0.07863 0.13043 7.863 13.043 U 0.5 0.5 N1.1_U1.18 N1.1_U1 1 dam_N1 sire_N1 N1N1
0.08045 0.12988 8.045 12.988 U 0.5 0.5 N1.1_U1.19 N1.1_U1 1 dam_N1 sire_N1 N1N1
0.09507 0.13781 9.507 13.781 U 0.5 0.5 N1.1_U1.2 N1.1_U1 1 dam_N1 sire_N1 N1N1
0.05542 0.12708 5.542 12.708 U 0.5 0.5 N1.1_U1.20 N1.1_U1 1 dam_N1 sire_N1 N1N1
0.07328 0.13512 7.328 13.512 U 0.5 0.5 N1.1_U1.21 N1.1_U1 1 dam_N1 sire_N1 N1N1
0.07787 0.141 7.787 14.1 U 0.5 0.5 N1.1_U1.22 N1.1_U1 1 dam_N1 sire_N1 N1N1
0.08897 0.13586 8.897 13.586 U 0.5 0.5 N1.1_U1.23 N1.1_U1 1 dam_N1 sire_N1 N1N1
0.08738 0.12973 8.738 12.973 U 0.5 0.5 N1.1_U1.24 N1.1_U1 1 dam_N1 sire_N1 N1N1
0.10856 0.15032 10.856 15.032 U 0.5 0.5 N1.1_U1.25 N1.1_U1 1 dam_N1 sire_N1 N1N1
0.08495 0.13826 8.495 13.826 U 0.5 0.5 N1.1_U1.26 N1.1_U1 1 dam_N1 sire_N1 N1N1
0.10708 0.13676 10.708 13.676 U 0.5 0.5 N1.1_U1.27 N1.1_U1 1 dam_N1 sire_N1 N1N1
0.07328 0.12692 7.328 12.692 U 0.5 0.5 N1.1_U1.28 N1.1_U1 1 dam_N1 sire_N1 N1N1
0.09794 0.14183 9.794 14.183 U 0.5 0.5 N1.1_U1.29 N1.1_U1 1 dam_N1 sire_N1 N1N1
0.09416 0.12888 9.416 12.888 U 0.5 0.5 N1.1_U1.3 N1.1_U1 1 dam_N1 sire_N1 N1N1
0.09661 0.12744 9.661 12.744 U 0.5 0.5 N1.1_U1.30 N1.1_U1 1 dam_N1 sire_N1 N1N1
0.10658 0.14538 10.658 14.538 U 0.5 0.5 N1.1_U1.31 N1.1_U1 1 dam_N1 sire_N1 N1N1
0.08059 0.13007 8.059 13.007 U 0.5 0.5 N1.1_U1.32 N1.1_U1 1 dam_N1 sire_N1 N1N1
0.09002 0.13325 9.002 13.325 U 0.5 0.5 N1.1_U1.33 N1.1_U1 1 dam_N1 sire_N1 N1N1
0.09128 0.11961 9.128 11.961 U 0.5 0.5 N1.1_U1.34 N1.1_U1 1 dam_N1 sire_N1 N1N1
0.08646 0.1189 8.646 11.89 U 0.5 0.5 N1.1_U1.4 N1.1_U1 1 dam_N1 sire_N1 N1N1
0.07984 0.13188 7.984 13.188 U 0.5 0.5 N1.1_U1.5 N1.1_U1 1 dam_N1 sire_N1 N1N1
0.07868 0.11523 7.868 11.523 U 0.5 0.5 N1.1_U1.6 N1.1_U1 1 dam_N1 sire_N1 N1N1
0.09087 0.12729 9.087 12.729 U 0.5 0.5 N1.1_U1.7 N1.1_U1 1 dam_N1 sire_N1 N1N1
0.07979 0.12431 7.979 12.431 U 0.5 0.5 N1.1_U1.8 N1.1_U1 1 dam_N1 sire_N1 N1N1
0.08861 0.13777 8.861 13.777 U 0.5 0.5 N1.1_U1.9 N1.1_U1 1 dam_N1 sire_N1 N1N1
0.09278 0.13789 9.278 13.789 U 0.5 0.5 N1.1_U2.1 N1.1_U2 1 dam_N1 sire_N1 N1N1
0.06712 0.12391 6.712 12.391 U 0.5 0.5 N1.1_U2.10 N1.1_U2 1 dam_N1 sire_N1 N1N1
0.09218 0.12038 9.218 12.038 U 0.5 0.5 N1.1_U2.11 N1.1_U2 1 dam_N1 sire_N1 N1N1
0.08794 0.14069 8.794 14.069 U 0.5 0.5 N1.1_U2.12 N1.1_U2 1 dam_N1 sire_N1 N1N1
0.07099 0.12952 7.099 12.952 U 0.5 0.5 N1.1_U2.13 N1.1_U2 1 dam_N1 sire_N1 N1N1
0.08127 0.13404 8.127 13.404 U 0.5 0.5 N1.1_U2.14 N1.1_U2 1 dam_N1 sire_N1 N1N1
