Length.spi Length.bod scLength.spi scLength.bod treat_dev measurer.spi measurer.bod animal cultureFac blockFac Dam Sire cross
0.1156 0.14092 11.56 14.092 N 0.5 0.5 U1.2_N2.16 U1.2_N2 6 dam_U1 sire_U2 U1U2
0.12722 0.15517 12.722 15.517 N 0.5 0.5 U1.2_N2.17 U1.2_N2 6 dam_U1 sire_U2 U1U2
0.11165 0.13876 11.165 13.876 N 0.5 0.5 U1.2_N2.18 U1.2_N2 6 dam_U1 sire_U2 U1U2
0.11641 0.14725 11.641 14.725 N 0.5 0.5 U1.2_N2.19 U1.2_N2 6 dam_U1 sire_U2 U1U2
0.12958 0.13474 12.958 13.474 N 0.5 0.5 U1.2_N2.2 U1.2_N2 6 dam_U1 sire_U2 U1U2
0.1267 0.15753 12.67 15.753 N 0.5 0.5 U1.2_N2.20 U1.2_N2 6 dam_U1 sire_U2 U1U2
0.11355 0.13521 11.355 13.521 N 0.5 0.5 U1.2_N2.21 U1.2_N2 6 dam_U1 sire_U2 U1U2
0.12792 0.15086 12.792 15.086 N 0.5 0.5 U1.2_N2.22 U1.2_N2 6 dam_U1 sire_U2 U1U2
0.12022 0.148 12.022 14.8 N 0.5 0.5 U1.2_N2.23 U1.2_N2 6 dam_U1 sire_U2 U1U2
0.12878 0.15436 12.878 15.436 N 0.5 0.5 U1.2_N2.24 U1.2_N2 6 dam_U1 sire_U2 U1U2
0.13983 0.15798 13.983 15.798 N 0.5 0.5 U1.2_N2.25 U1.2_N2 6 dam_U1 sire_U2 U1U2
0.13881 0.16043 13.881 16.043 N 0.5 0.5 U1.2_N2.26 U1.2_N2 6 dam_U1 sire_U2 U1U2
0.13674 0.1567 13.674 15.67 N 0.5 0.5 U1.2_N2.27 U1.2_N2 6 dam_U1 sire_U2 U1U2
0.12694 0.15658 12.694 15.658 N 0.5 0.5 U1.2_N2.28 U1.2_N2 6 dam_U1 sire_U2 U1U2
0.13819 0.16205 13.819 16.205 N 0.5 0.5 U1.2_N2.29 U1.2_N2 6 dam_U1 sire_U2 U1U2
0.1213 0.14656 12.13 14.656 N 0.5 0.5 U1.2_N2.3 U1.2_N2 6 dam_U1 sire_U2 U1U2
0.12811 0.14151 12.811 14.151 N 0.5 0.5 U1.2_N2.30 U1.2_N2 6 dam_U1 sire_U2 U1U2
0.11712 0.14587 11.712 14.587 N 0.5 0.5 U1.2_N2.31 U1.2_N2 6 dam_U1 sire_U2 U1U2
0.13551 0.15452 13.551 15.452 N 0.5 0.5 U1.2_N2.32 U1.2_N2 6 dam_U1 sire_U2 U1U2
0.12908 0.15244 12.908 15.244 N 0.5 0.5 U1.2_N2.33 U1.2_N2 6 dam_U1 sire_U2 U1U2
0.12591 0.14495 12.591 14.495 N 0.5 0.5 U1.2_N2.34 U1.2_N2 6 dam_U1 sire_U2 U1U2
0.12509 0.15161 12.509 15.161 N 0.5 0.5 U1.2_N2.35 U1.2_N2 6 dam_U1 sire_U2 U1U2
0.09051 0.14499 9.051 14.499 N 0.5 0.5 U1.2_N2.4 U1.2_N2 6 dam_U1 sire_U2 U1U2
0.12817 0.14642 12.817 14.642 N 0.5 0.5 U1.2_N2.5 U1.2_N2 6 dam_U1 sire_U2 U1U2
0.1205 0.14333 12.05 14.333 N 0.5 0.5 U1.2_N2.6 U1.2_N2 6 dam_U1 sire_U2 U1U2
0.11887 0.14887 11.887 14.887 N 0.5 0.5 U1.2_N2.7 U1.2_N2 6 dam_U1 sire_U2 U1U2
0.13312 0.15155 13.312 15.155 N 0.5 0.5 U1.2_N2.8 U1.2_N2 6 dam_U1 sire_U2 U1U2
0.11235 0.14477 11.235 14.477 N 0.5 0.5 U1.2_N2.9 U1.2_N2 6 dam_U1 sire_U2 U1U2
0.11225 0.13738 11.225 13.738 U 0.5 0.5 U1.2_U1.1 U1.2_U1 6 dam_U1 sire_U2 U1U2
0.08309 0.14233 8.309 14.233 U 0.5 0.5 U1.2_U1.10 U1.2_U1 6 dam_U1 sire_U2 U1U2
0.08524 0.12601 8.524 12.601 U 0.5 0.5 U1.2_U1.11 U1.2_U1 6 dam_U1 sire_U2 U1U2
