Sample	1.0	2.0	3.0	4.0	5.0	6.0	7.0	8.0	9.0	>10	>50	>100	>500	>1k	>5k	>10k+
N44_N1_RNA_S16_L001_R2										11.690786493369512	3.0309014058375645	4.414252661785521	1.5803875289636025	3.456918626297476	0.9837987997052217	1.3891338938066473
N44_U1_RNA_S17_L001_R1										14.446748250739914	3.8231081419167925	5.639331673470656	1.5409344485111882	2.8813655187830443	1.0469343906744295	0.991055325271651
N44_U1_RNA_S17_L001_R2										12.535986719771607	3.2708115176985157	5.015799354798361	1.564613692639548	3.200292889552483	0.7167917395880632	0.9881798634503475
N55_N2_RNA_S18_L001_R1										13.286981545139268	3.355973688530313	5.2214681986475036	1.8259243387139505	4.153290114910643	1.8543863012341666	3.8078644456109116
N55_N2_RNA_S18_L001_R2										11.303684082515465	2.8246733659320866	4.495793310248535	1.6286822741406766	4.788622889295394	2.1013078638463543	3.0298801194363048
N55_U1_RNA_S19_L001_R1										12.631639805566103	3.424522222025301	5.209255711125469	2.0049027766366097	4.665178951943914	2.444157916358439	4.104116716002122
N55_U1_RNA_S19_L001_R2										10.816842137030779	2.8356402115648254	4.721998222193606	1.8034970196341722	5.678492961936579	2.509681996948886	3.8628692266933844
N56_N2_RNA_S20_L001_R1										13.39188738167158	3.4800804579261553	5.177216963078666	1.6884840880343859	3.7398148839136294	1.8275267838591065	2.583106583636582
N56_N2_RNA_S20_L001_R2										11.699134553532401	2.9622970298489046	4.628835994871582	1.5565401599510875	4.5250259964571535	2.009574336112608	2.267875518248424
N56_U2_RNA_S21_L001_R1										14.201866113357845	3.7261371709041446	5.757988328847644	1.8099027268583492	4.130463862601064	1.7278987890375062	4.082257578937748
N56_U2_RNA_S21_L001_R2										11.911898787376138	3.0358870374650215	4.772398480611029	1.6789572896863916	4.7182410094827105	2.0795893627327766	3.2081961812086104
N65_N1_RNA_S22_L001_R1										13.488545389458729	3.2393982421374834	4.857467431766654	1.6347208620726958	3.356513317008897	1.2295424025406057	1.4882290270835576
N65_N1_RNA_S22_L001_R2										10.918203186876134	2.660797420008802	4.254836341372224	1.5168376613143049	3.738986419945033	0.9427386056108538	1.4644587720534021
N65_U2_RNA_S23_L001_R1										13.897949715598182	3.4360120129245963	4.99647859048927	1.5900862887655538	3.4878056048855433	1.1882644812561005	1.1972247358416994
N65_U2_RNA_S23_L001_R2										11.398991318544322	2.807705560064268	4.269733009307764	1.6352017201548281	3.6679943345575317	0.899012359533841	1.0996346410549624
N66_N2_RNA_S24_L001_R1										12.794949018109936	3.187142539804512	5.122823015842548	1.6844196975207937	3.30000728294448	1.0518281338664937	1.0858601788057654
N66_N2_RNA_S24_L001_R2										10.849869753120702	2.8187937730843453	4.589521797634423	1.6358940792301027	3.6547023938873746	0.7522093554855916	1.1171991663761125
N66_U2_RNA_S25_L001_R1										12.934047487326739	3.401743829060465	4.975474386645604	1.7203349871135836	3.6598476310196646	1.3484960482295585	1.3005755301165516
N66_U2_RNA_S25_L001_R2										11.217504494841931	2.912308609215617	4.533809056215983	1.69790047612224	4.224280377079969	1.033722434750308	1.5050040033702177
N77_N1_RNA_S26_L001_R1										13.478640670273844	3.4653596431662144	5.524826687438913	1.996878468493183	3.6576992703128703	1.456870418477062	1.4317881074478673
