Sample	27	32	37	42	47	52	57	62	67	72	77	82	87	92	97	102	107	112	117	122	127	132	137	141
N34_N1_RNA_S12_L001_R1	132687.0	185386.0	209717.0	249450.0	291162.0	342770.0	396445.0	455264.0	513596.0	571959.0	628383.0	684711.0	729899.0	775772.0	807778.0	838307.0	861946.0	870878.0	881049.0	877659.0	872494.0	857868.0	1269770.0	20333922.0
N34_N1_RNA_S12_L001_R2	113486.0	167694.0	190698.0	229749.0	270426.0	317930.0	370096.0	431282.0	491577.0	552533.0	607906.0	666318.0	715503.0	761967.0	794709.0	828735.0	855000.0	862359.0	879378.0	880483.0	877924.0	861510.0	1381672.0	19944015.0
N34_U2_RNA_S13_L001_R1	192473.0	272807.0	313697.0	379183.0	449210.0	535960.0	623106.0	722228.0	821405.0	921569.0	1014939.0	1104371.0	1178236.0	1250288.0	1299788.0	1340614.0	1371653.0	1369374.0	1378361.0	1359062.0	1334931.0	1300916.0	1750183.0	25258182.0
N34_U2_RNA_S13_L001_R2	155082.0	239657.0	280998.0	349903.0	419775.0	503055.0	589443.0	691460.0	794433.0	899938.0	993404.0	1087664.0	1168790.0	1240609.0	1291840.0	1340756.0	1374892.0	1371698.0	1388202.0	1372440.0	1350072.0	1313844.0	1917003.0	24898270.0
N43_N2_RNA_S14_L001_R1	159201.0	223982.0	256110.0	307353.0	366501.0	439520.0	514463.0	594768.0	677712.0	758441.0	834835.0	901186.0	959554.0	1017843.0	1050333.0	1079461.0	1100045.0	1089369.0	1095773.0	1073408.0	1057571.0	1025436.0	1448880.0	22280785.0
N43_N2_RNA_S14_L001_R2	127489.0	197473.0	230749.0	284990.0	343262.0	412315.0	485841.0	567644.0	654450.0	738623.0	815606.0	887054.0	952404.0	1008687.0	1043446.0	1077749.0	1101266.0	1091311.0	1102529.0	1085736.0	1069435.0	1035727.0	1596750.0	21894383.0
N43_U1_RNA_S15_L001_R1	160627.0	212953.0	234865.0	276043.0	322131.0	381975.0	441722.0	510582.0	576780.0	645017.0	709556.0	770706.0	820681.0	877978.0	911009.0	945220.0	972567.0	973180.0	989648.0	985205.0	978515.0	966000.0	1434245.0	23063734.0
N43_U1_RNA_S15_L001_R2	133905.0	194120.0	215980.0	258462.0	301857.0	356159.0	412811.0	481938.0	549103.0	620660.0	683328.0	747439.0	805023.0	857529.0	894223.0	931199.0	963577.0	964803.0	988380.0	989732.0	983703.0	968909.0	1578711.0	22568132.0
N44_N1_RNA_S16_L001_R1	139774.0	184696.0	203932.0	238306.0	278876.0	328837.0	381746.0	437159.0	491204.0	546617.0	598197.0	643120.0	680291.0	718990.0	743899.0	769049.0	789362.0	781601.0	794490.0	790086.0	780914.0	769811.0	1177956.0	19543164.0
N44_N1_RNA_S16_L001_R2	126618.0	178870.0	198863.0	234112.0	272297.0	316928.0	366800.0	420085.0	474082.0	530327.0	578984.0	627290.0	669877.0	705733.0	732706.0	761028.0	784388.0	776640.0	796968.0	797808.0	793546.0	778990.0	1317076.0	18764336.0
N44_U1_RNA_S17_L001_R1	147903.0	203036.0	226309.0	269240.0	312709.0	367943.0	423652.0	482801.0	539740.0	595894.0	648607.0	697129.0	734017.0	775043.0	798891.0	819571.0	838727.0	838387.0	848038.0	843602.0	836707.0	825919.0	1276608.0	21529892.0
N44_U1_RNA_S17_L001_R2	120736.0	180452.0	204920.0	250969.0	292721.0	344737.0	398832.0	458755.0	518805.0	577554.0	629890.0	682010.0	724699.0	764946.0	789554.0	815138.0	836934.0	836531.0	852249.0	852691.0	844825.0	836725.0	1412463.0	21128765.0
N55_N2_RNA_S18_L001_R1	171042.0	215283.0	237235.0	276935.0	328940.0	390967.0	455672.0	526063.0	593387.0	663927.0	729006.0	785538.0	830322.0	875141.0	899449.0	919637.0	940124.0	923023.0	931553.0	913011.0	892566.0	872898.0	1249644.0	19122961.0
N55_N2_RNA_S18_L001_R2	119778.0	176439.0	202254.0	245049.0	296365.0	351438.0	413526.0	482649.0	553568.0	627197.0	688808.0	752034.0	808255.0	850155.0	879367.0	904426.0	930884.0	915361.0	932406.0	923892.0	901283.0	883973.0	1357382.0	18898177.0
