Sample,Filtered Reads,Total Mapping Rate (%),Unique Mapping Rate (%),Multi-Mapping Rate (%)
N78_U2_RNA_S29_L001_R1,43058674,73.09,60.62677871,12.45884395
N87_N1_RNA_S30_L001_R1,35647297,73.14,63.48571955,9.65584291
N87_U1_RNA_S31_L001_R1,32478434,70.88,61.1655445,9.718575101
N88_N1_RNA_S32_L001_R1,34667172,72.68,62.89968215,9.784063148
N88_U1_RNA_S33_L001_R1,31918005,72.61,62.75076403,9.860008481
N910_N2_RNA_S34_L001_R1,43852563,76.03,65.72561107,10.30721739
N910_U2_RNA_S35_L001_R1,39076989,75.35,65.16322688,10.18351491
N99_N1_RNA_S36_L001_R1,41350071,75.83,65.92400289,9.909255053
N99_U1_RNA_S37_L001_R1,33890872,75.14,65.10327914,10.03863813
U1010_N1_RNA_S80_L001_R1,34341641,74.37,63.78239759,10.5829538
U1010_U1_RNA_S81_L001_R1,35333708,75.53,65.48566598,10.04843307
U109_N2_RNA_S78_L001_R1,43387046,75.03,64.85497538,10.17986106
U109_U1_RNA_S79_L001_R1,47166157,73.81,63.50194272,10.30458131
U11_N1_RNA_S42_L001_R1,34616637,74.14,63.83270853,10.30503916
U11_U1_RNA_S43_L001_R1,37810803,71.25,61.01938644,10.23373399
U12_N1_RNA_S44_L001_R1,31946332,73.39,63.52377481,9.863507961
U12_U1_RNA_S45_L001_R1,34355109,73.64,62.95986137,10.67516916
U21_N1_RNA_S46_L001_R1,35064656,75.35,65.43888809,9.913694861
U21_U2_RNA_S47_L001_R1,37530261,74.47,64.92524526,9.546043391
U22_N1_RNA_S48_L001_R1,38715238,74.76,65.08571896,9.671264322
U22_U1_RNA_S49_L001_R1,31648658,74.13,64.50409051,9.628913807
U33_N1_RNA_S50_L001_R1,31848807,71.95,62.12701468,9.824503003
U33_U1_RNA_S51_L001_R1,32281750,65.93,54.54132133,11.39055349
U34_N1_RNA_S52_L001_R1,34176089,73.17,63.89496469,9.274706652
U34_U1_RNA_S53_L001_R1,35910804,63.96,51.70141833,12.2563477
U43_N1_RNA_S54_L001_R1,29743663,72.17,62.24846953,9.919386862
U43_U1_RNA_S55_L001_R1,32089359,70.83,61.01139322,9.814636684
U44_N1_RNA_S56_L001_R1,29702017,72.23,63.02144396,9.206785519
U44_U1_RNA_S57_L001_R1,30968350,70.5,60.85987791,9.63817575
U55_N2_RNA_S58_L001_R1,34769431,76.2,66.01437913,10.18175707
U55_U1_RNA_S59_L001_R1,34687271,75.33,65.52548916,9.800381817
U56_N1_RNA_S60_L001_R1,34751223,76.63,66.39547621,10.23476498
U56_U1_RNA_S61_L001_R1,33900260,75.61,63.94814081,11.66237368
U65_N1_RNA_S62_L001_R1,35971392,75.44,65.80405062,9.633530446
U65_U2_RNA_S63_L001_R1,35309872,74.72,64.22277033,10.49638186
U66_N1_RNA_S64_L001_R1,33565101,75.35,65.78819471,9.559142992
U66_U1_RNA_S65_L001_R1,36914837,71.02,61.24270845,9.781852755
U77_N1_RNA_S66_L001_R1,33398844,74.55,64.64887228,9.898399478
U77_U1_RNA_S67_L001_R1,24855878,71.76,62.11358939,9.650518079
